PartNumber,PartDescription,Brand,DisplayStyleNo,Finish,Size,BoltPattern,Offset,CenterBore,LoadRating,ShippingWeight,ImageURL,InvOrderType,Style,TotalQOH,MSRP,MAP,RunDate,1001,1002,1003,1004,1005,1006,1007,1008,1009,1011,1013,1014,1015,1016,1018,1019,1020,1021,1022,1024,1025,1026,1028,1029,1030,1031,1032,1034,1035,1036,1038,1040,1042,1043,1053,1054,1055,1056,1060,1071,1072,1080,1085,1086,1087,1088,1421
104C-896154,PR104 18X9.5 5X4.75 CHROME 54MM,Performance Replicas,104,CHROME,18X9.5,5X4.75,54,70.70,1400,28.00000,https://assets.wheelpros.com/PR104PR1042Standardfv62o564531hDkXlXCw.png?product_type=Wheels&size=500,N2,PR104,0,290.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105C-786156,PR105 17X8.5 5X4.75 CHROME 56MM,Performance Replicas,105,CHROME,17X8.5,5X4.75,56,70.70,1400,28.00000,https://assets.wheelpros.com/PR105PR1052Standardfv62omc2l387JuCIokk.png?product_type=Wheels&size=500,N2,PR105,0,318.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105C-796154,PR105 17X9.5 5X4.75 CHROME 54MM,Performance Replicas,105,CHROME,17X9.5,5X4.75,54,70.70,1400,28.00000,https://assets.wheelpros.com/PR105PR1052Standardfv62omc2l387JuCIokk.png?product_type=Wheels&size=500,N2,PR105,0,318.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105C-816158,PR105 18X15 5X4.75 CHROME 58MM,Performance Replicas,105,CHROME,18X15,5X4.75,58,70.70,1400,29.00000,https://assets.wheelpros.com/PR105PR1052Standardfv62omc2l387JuCIokk.png?product_type=Wheels&size=500,N2,PR105,1,290.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105C-896156,PR105 18X9.5 5X4.75 CHROME 56MM,Performance Replicas,105,CHROME,18X9.5,5X4.75,56,70.70,1400,28.00000,https://assets.wheelpros.com/PR105PR1052Standardfv62omc2l387JuCIokk.png?product_type=Wheels&size=500,N2,PR105,0,358.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106A-716527,PR106 17X10.5 5X4.5 ANTHR MACH-LP 27MM,Performance Replicas,106,ANTHRACITE/MACHINED LIP,17X10.5,5X4.5,27,70.70,1400,32.00000,https://assets.wheelpros.com/PR106PR1064Standardfv62pztwkxKgsBcfqHd.png?product_type=Wheels&size=500,N2,PR106,0,179.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106A-78610,PR106 17X8 5X4.75 ANTHR MACH-LP 00MM,Performance Replicas,106,ANTHRACITE/MACHINED LIP,17X8,5X4.75,00,73.10,1400,29.00000,https://assets.wheelpros.com/PR106PR1064Standardfv62pztwkxKgsBcfqHd.png?product_type=Wheels&size=500,N2,PR106,2,157.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106A-78650,PR106 17X8 5X4.5 ANTHR MACH-LP 00MM,Performance Replicas,106,ANTHRACITE/MACHINED LIP,17X8,5X4.5,00,73.10,1400,29.00000,https://assets.wheelpros.com/PR106PR1064Standardfv62pztwkxKgsBcfqHd.png?product_type=Wheels&size=500,SP,PR106,8,157.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106A-786530,PR106 17X8 5X4.5 ANTHR MACH-LP 30MM,Performance Replicas,106,ANTHRACITE/MACHINED LIP,17X8,5X4.5,30,70.70,1400,29.00000,https://assets.wheelpros.com/PR106PR1064Standardfv62pztwkxKgsBcfqHd.png?product_type=Wheels&size=500,SP,PR106,38,196.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
106A-796530,PR106 17X9 5X4.5 ANTHR MACH-LP 30MM,Performance Replicas,106,ANTHRACITE/MACHINED LIP,17X9,5X4.5,30,73.10,1400,31.00000,https://assets.wheelpros.com/PR106PR1064Standardfv62pztwkxKgsBcfqHd.png?product_type=Wheels&size=500,N2,PR106,1,161.00,0.00,03/22/2022 4:05:54 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
